0,6
4.99999968,21
9.999999359,7
15.00000048,3
20.00000016,3
24.99999984,5
29.99999952,1
35.00000064,1
40.00000032,1
45,4
49.99999968,3
54.99999936,3
60.00000048,0
65.00000016,2
69.99999984,2
74.99999952,0
80.00000064,1
85.00000032,0
90,1
94.99999968,3
99.99999936,4
105.0000005,1
110.0000002,0
114.9999998,4
119.9999995,0
125.0000006,1
130.0000003,2
135,0
139.9999997,2
144.9999994,2
150.0000005,1
155.0000002,0
159.9999998,0
164.9999995,3
170.0000006,0
175.0000003,0
180,0
184.9999997,0
189.9999994,0
195.0000005,1
200.0000002,2
204.9999998,0
209.9999995,0
215.0000006,2
220.0000003,0
225,1
229.9999997,0
234.9999994,0
240.0000005,0
245.0000002,1
249.9999998,1
254.9999995,1
260.0000006,0
265.0000003,1
270,3
274.9999997,2
279.9999994,4
285.0000005,3
290.0000002,2
294.9999998,2
299.9999995,6
305.0000006,2
310.0000003,3
315,2
319.9999997,8
324.9999994,7
330.0000005,9
335.0000002,6
339.9999998,7
344.9999995,9
350.0000006,10
355.0000003,5
360,3
364.9999997,11
369.9999994,7
375.0000005,15
380.0000002,14
384.9999998,8
389.9999995,18
395.0000006,21
400.0000003,17
405,24
409.9999997,13
414.9999994,17
420.0000005,19
425.0000002,23
429.9999998,29
434.9999995,29
440.0000006,31
445.0000003,39
450,34
454.9999997,41
459.9999994,39
465.0000005,40
470.0000002,42
474.9999998,30
479.9999995,31
485.0000006,48
490.0000003,40
495,41
499.9999997,48
504.9999994,53
510.0000005,53
515.0000002,58
519.9999998,46
524.9999995,54
530.0000006,49
535.0000003,28
540,54
544.9999997,53
549.9999994,51
555.0000005,43
560.0000002,42
564.9999998,39
569.9999995,39
575.0000006,32
580.0000003,32
585,44
589.9999997,29
594.9999994,46
600.0000005,31
605.0000002,22
609.9999998,29
614.9999995,23
620.0000006,28
625.0000003,38
630,23
634.9999997,35
639.9999994,20
645.0000005,15
650.0000002,24
654.9999998,27
659.9999995,21
665.0000006,19
670.0000003,31
675,22
679.9999997,23
684.9999994,18
690.0000005,36
695.0000002,27
699.9999998,22
704.9999995,31
710.0000006,22
715.0000003,19
720,12
724.9999997,36
729.9999994,30
735.0000005,30
740.0000002,27
744.9999998,28
749.9999995,25
755.0000006,20
760.0000003,22
765,26
769.9999997,19
774.9999994,20
780.0000005,18
785.0000002,36
789.9999998,33
794.9999995,30
800.0000006,21
805.0000003,33
810,28
814.9999997,30
819.9999994,45
825.0000005,33
830.0000002,28
834.9999998,35
839.9999995,26
845.0000006,34
850.0000003,33
855,28
859.9999997,37
864.9999994,42
870.0000005,40
875.0000002,37
879.9999998,38
884.9999995,39
890.0000006,36
895.0000003,32
900,35
904.9999997,51
909.9999994,49
915.0000005,40
920.0000002,49
924.9999998,49
929.9999995,36
935.0000006,45
940.0000003,39
945,37
949.9999997,35
954.9999994,39
960.0000005,37
965.0000002,38
969.9999998,42
974.9999995,41
980.0000006,38
985.0000003,32
990,37
994.9999997,24
999.9999994,40
1005,24
1010,32
1015,28
1020,29
1025.000001,18
1030,22
1035,29
1040,20
1044.999999,19
1050,23
1055,24
1060,23
1065,27
1070.000001,23
1075,18
1080,23
1085,28
1089.999999,25
1095,18
1100,16
1105,21
1110,21
1115.000001,39
1120,22
1125,32
1130,26
1134.999999,18
1140,24
1145,33
1150,34
1155,22
1160.000001,22
1165,45
1170,13
1175,25
1179.999999,27
1185,12
1190,17
1195,26
1200,24
1205.000001,25
1210,17
1215,13
1220,16
1224.999999,10
1230,19
1235,13
1240,15
1245,18
1250.000001,28
1255,12
1260,21
1265,11
1269.999999,21
1275,15
1280,21
1285,11
1290,17
1295.000001,11
1300,10
1305,11
1310,23
1314.999999,13
1320,15
1325,12
1330,19
1335,10
1340.000001,12
1345,10
1350,11
1355,14
1359.999999,9
1365,7
1370,8
1375,7
1380,5
1385.000001,7
1390,8
1395,5
1400,5
1404.999999,3
1410,7
1415,3
1420,4
1425,7
1430.000001,2
1435,2
1440,2
1445,17
1449.999999,2
1455,6
1460,3
1465,3
1470,7
1475.000001,2
1480,2
1485,0
1490,1
1494.999999,1
1500,3
1505,2
1510,1
1515,2
1520.000001,1
1525,0
1530,0
1535,0
1539.999999,1
1545,0
1550,0
1555,1
1560,2
1565.000001,0
1570,0
1575,1
1580,1
1584.999999,1
1590,1
1595,0
1600,1
1605,0
1610.000001,2
1615,0
1620,1
1625,0
1629.999999,0
1635,0
1640,0
1645,1
1650,0
1655.000001,1
1660,1
1665,0
1670,0
1674.999999,0
1680,0
1685,0
1690,3
1695,0
1700.000001,0
1705,1
1710,4
1715,3
1719.999999,1
1725,2
1730,3
1735,0
1740,3
1745.000001,2
1750,4
1755,8
1760,3
1764.999999,5
1770,7
1775,6
1780,7
1785,8
1790.000001,8
1795,5
1800,5
1805,10
1809.999999,13
1815,19
1820,10
1825,16
1830,15
1835.000001,16
1840,16
1845,17
1850,19
1854.999999,15
1860,26
1865,27
1870,35
1875,40
1880.000001,37
1885,35
1890,38
1895,38
1899.999999,47
1905,63
1910,45
1915,42
1920,43
1925.000001,55
1930,74
1935,69
1940,61
1944.999999,60
1950,59
1955,57
1960,63
1965,66
1970.000001,51
1975,51
1980,50
1985,52
1989.999999,47
1995,55
2000,43
2005,60
2010,48
2015.000001,58
2020,45
2025,38
2030,44
2034.999999,44
2040,25
2045,31
2050,30
2055,38
2060.000001,34
2065,26
2070,34
2075,25
2079.999999,24
2085,24
2090,32
2095,29
2100,41
2105.000001,28
2110,39
2115,25
2120,39
2124.999999,32
2130,32
2135,30
2140,0
2145,0
2150.000001,0
2155,0
2160,0
2165,27
2169.999999,35
2175,36
2180,32
2185,25
2190,29
2195.000001,33
2200,40
2205,32
2210,28
2214.999999,28
2220,27
2225,29
2230,45
2235,34
2240.000001,37
2245,38
2250,32
2255,37
2259.999999,34
2265,28
2270,30
2275,31
2280,27
2285.000001,34
2290,28
2295,23
2300,33
2304.999999,38
2310,29
2315,37
2320,33
2325,26
2330.000001,29
2335,22
2340,29
2345,36
2349.999999,44
2355,43
2360,45
2365,49
2370,36
2375.000001,43
2380,41
2385,24
2390,41
2394.999999,39
2400,33
2405,41
2410,41
2415,34
2420.000001,31
2425,26
2430,29
2435,28
2439.999999,23
2445,45
2450,30
2455,12
2460,20
2465.000001,19
2470,18
2475,14
2480,21
2484.999999,18
2490,21
2495,17
2500,21
2505,21
2510.000001,16
2515,22
2520,27
2525,23
2529.999999,43
2535,24
2540,20
2545,18
2550,27
2555.000001,24
2560,30
2565,33
2570,16
2574.999999,24
2580,33
2585,23
2590,21
2595,33
2600.000001,29
2605,33
2610,20
2615,23
2619.999999,32
2625,31
2630,20
2635,18
2640,17
2645.000001,24
2650,29
2655,23
2660,17
2664.999999,22
2670,14
2675,15
2680,26
2685,14
2690.000001,14
2695,21
2700,18
2705,21
2709.999999,22
2715,26
2720,20
2725,15
2730,6
2735.000001,9
2740,10
2745,15
2750,10
2754.999999,10
2760,5
2765,18
2770,16
2775,22
2780.000001,8
2785,8
2790,12
2795,10
2799.999999,4
2805,6
2810,5
2815,7
2820,5
2825.000001,9
2830,6
2835,7
2840,11
2844.999999,3
2850,4
2855,4
2860,3
2865,1
2870.000001,1
2875,1
2880,7
2885,14
2889.999999,8
2895,2
2900,4
2905,4
2910,3
2915.000001,0
2920,5
2925,3
2930,3
2934.999999,1
2940,0
2945,1
2950,0
2955,3
2960.000001,1
2965,2
2970,0
2975,0
2979.999999,2
2985,1
2990,1
2995,1
3000,3
3005.000001,0
3010,0
3015,1
3020,0
3024.999999,0
3030,1
3035,1
3040,0
3045,2
3050.000001,1
3055,0
3060,0
3065,1
3069.999999,0
3075,0
3080,1
3085,0
3090,0
3095.000001,5
3100,0
3105,0
3110,1
3114.999999,1
3120,1
3125,1
3130,2
3135,1
3140.000001,1
3145,2
3150,3
3155,5
3159.999999,2
3165,0
3170,3
3175,2
3180,4
3185.000001,2
3190,3
3195,6
3200,6
3204.999999,6
3210,5
3215,8
3220,7
3225,6
3230.000001,9
3235,2
3240,15
3245,4
3249.999999,12
3255,18
3260,13
3265,6
3270,9
3275.000001,16
3280,22
3285,25
3290,20
3294.999999,20
3300,30
3305,27
3310,44
3315,28
3320.000001,33
3325,34
3330,31
3335,48
3339.999999,53
3345,56
3350,54
3355,60
3360,53
3365.000001,67
3370,68
3375,55
3380,53
3384.999999,53
3390,62
3395,56
3400,66
3405,62
3410.000001,45
3415,45
3420,46
3425,49
3429.999999,60
3435,48
3440,39
3445,65
3450,37
3455.000001,44
3460,51
3465,48
3470,41
3474.999999,33
3480,36
3485,32
3490,31
3495,26
3500.000001,31
3505,26
3510,38
3515,38
3519.999999,34
3525,25
3530,36
3535,33
3540,27
3545.000001,23
3550,27
3555,39
3560,31
3564.999999,25
3570,24
3575,34
3580,32
3585,28
3590.000001,40
3595,25
3600,37
3605,41
3609.999999,38
3615,41
3620,28
3625,24
3630,24
3635.000001,42
3640,46
3645,36
3650,31
3654.999999,25
3660,28
3665,31
3670,32
3675,29
3680.000001,37
3685,34
3690,31
3695,44
3699.999999,26
3705,30
3710,27
3715,27
3720,32
3725.000001,39
3730,35
3735,37
3740,32
3744.999999,24
3750,36
3755,39
3760,27
3765,45
3770.000001,46
3775,29
3780,33
3785,37
3789.999999,44
3795,30
3800,36
3805,49
3810,43
3815.000001,42
3820,42
3825,37
3830,40
3834.999999,31
3840,45
3845,42
3850,37
3855,46
3860.000001,41
3865,23
3870,25
3875,24
3879.999999,28
3885,23
3890,14
3895,23
3900,23
3905.000001,19
3910,17
3915,4
3920,20
3924.999999,6
3930,16
3935,25
3940,19
3945,31
3950.000001,10
3955,9
3960,16
3965,21
3969.999999,20
3975,30
3980,16
3985,12
3990,19
3995.000001,28
4000,9
4005,27
4010,32
4014.999999,33
4020,16
4025,28
4030,29
4035,23
4040.000001,30
4045,32
4050,25
4055,22
4059.999999,24
4065,24
4070,29
4075,15
4080,31
4085.000001,23
4090,25
4095,27
4100,14
4104.999999,20
4110,11
4115,12
4120,22
4125,20
4130.000001,16
4135,16
4140,16
4145,15
4149.999999,22
4155,13
4160,11
4165,12
4170,22
4175.000001,15
4180,11
4185,19
4190,18
4194.999999,16
4200,12
4205,15
4210,9
4215,20
4220.000001,13
4225,15
4230,11
4235,10
4239.999999,15
4245,6
4250,7
4255,4
4260,0
4265.000001,6
4270,4
4275,7
4280,7
4284.999999,10
4290,2
4295,1
4300,4
4305,6
4310.000001,2
4315,4
4320,6
4325,21
4329.999999,4
4335,5
4340,2
4345,1
4350,0
4355.000001,1
4360,2
4365,1
4370,2
4374.999999,2
