0,3
4.99999968,4
9.999999359,6
15.00000048,0
20.00000016,4
24.99999984,3
29.99999952,4
35.00000064,2
40.00000032,6
45,1
49.99999968,2
54.99999936,4
60.00000048,3
65.00000016,1
69.99999984,2
74.99999952,0
80.00000064,1
85.00000032,1
90,7
94.99999968,1
99.99999936,1
105.0000005,2
110.0000002,0
114.9999998,0
119.9999995,0
125.0000006,1
130.0000003,1
135,0
139.9999997,1
144.9999994,0
150.0000005,0
155.0000002,0
159.9999998,3
164.9999995,3
170.0000006,0
175.0000003,2
180,2
184.9999997,3
189.9999994,1
195.0000005,0
200.0000002,0
204.9999998,2
209.9999995,1
215.0000006,1
220.0000003,2
225,1
229.9999997,0
234.9999994,2
240.0000005,0
245.0000002,1
249.9999998,1
254.9999995,1
260.0000006,0
265.0000003,0
270,0
274.9999997,3
279.9999994,1
285.0000005,1
290.0000002,4
294.9999998,5
299.9999995,2
305.0000006,3
310.0000003,6
315,6
319.9999997,1
324.9999994,6
330.0000005,9
335.0000002,2
339.9999998,8
344.9999995,7
350.0000006,5
355.0000003,9
360,5
364.9999997,6
369.9999994,10
375.0000005,5
380.0000002,5
384.9999998,9
389.9999995,11
395.0000006,10
400.0000003,9
405,9
409.9999997,12
414.9999994,14
420.0000005,10
425.0000002,11
429.9999998,12
434.9999995,15
440.0000006,17
445.0000003,17
450,17
454.9999997,22
459.9999994,32
465.0000005,18
470.0000002,33
474.9999998,25
479.9999995,34
485.0000006,46
490.0000003,37
495,35
499.9999997,43
504.9999994,44
510.0000005,53
515.0000002,55
519.9999998,48
524.9999995,44
530.0000006,29
535.0000003,37
540,41
544.9999997,33
549.9999994,25
555.0000005,28
560.0000002,25
564.9999998,35
569.9999995,24
575.0000006,30
580.0000003,28
585,36
589.9999997,27
594.9999994,24
600.0000005,30
605.0000002,43
609.9999998,40
614.9999995,36
620.0000006,29
625.0000003,31
630,37
634.9999997,27
639.9999994,36
645.0000005,25
650.0000002,31
654.9999998,32
659.9999995,43
665.0000006,24
670.0000003,33
675,33
679.9999997,33
684.9999994,28
690.0000005,32
695.0000002,30
699.9999998,30
704.9999995,26
710.0000006,24
715.0000003,35
720,32
724.9999997,29
729.9999994,26
735.0000005,34
740.0000002,27
744.9999998,40
749.9999995,53
755.0000006,22
760.0000003,41
765,31
769.9999997,34
774.9999994,40
780.0000005,32
785.0000002,36
789.9999998,52
794.9999995,37
800.0000006,37
805.0000003,40
810,48
814.9999997,51
819.9999994,46
825.0000005,43
