Part.c.16 	 resumes 	 MachineShop.MachineShop.1 	 at time 6.320949671808092.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 6.45078132301569.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 6.45078132301569.
MachineShop.MachineShop.1 	 resumes 	 Part.c.17 	 at time 6.542407440824146.
Part.c.17 	 resumes 	 MachineShop.MachineShop.1 	 at time 6.542407440824146.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 6.988346433266997.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 6.988346433266997.
MachineShop.MachineShop.1 	 resumes 	 Part.c.16 	 at time 7.066997839388831.
Part.c.16 	 resumes 	 MachineShop.MachineShop.1 	 at time 7.066997839388831.
MachineShop.MachineShop.1 	 resumes 	 Part.c.17 	 at time 7.133477917045067.
Part.c.17 	 resumes 	 MachineShop.MachineShop.1 	 at time 7.133477917045067.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 7.525911543518305.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 7.525911543518305.
MachineShop.MachineShop.1 	 resumes 	 Part.c.17 	 at time 7.724548393265987.
Part.c.17 	 resumes 	 MachineShop.MachineShop.1 	 at time 7.724548393265987.
MachineShop.MachineShop.1 	 resumes 	 Part.c.16 	 at time 7.81304600696957.
Part.c.16 	 resumes 	 MachineShop.MachineShop.1 	 at time 7.81304600696957.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 8.063476653769612.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 8.063476653769612.
MachineShop.MachineShop.1 	 resumes 	 Part.c.17 	 at time 8.315618869486908.
Part.c.17 	 resumes 	 MachineShop.MachineShop.1 	 at time 8.315618869486908.
MachineShop.MachineShop.1 	 resumes 	 Part.c.16 	 at time 8.559094174550308.
Part.c.16 	 resumes 	 MachineShop.MachineShop.1 	 at time 8.559094174550308.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 8.60104176402092.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 8.60104176402092.
MachineShop.MachineShop.1 	 resumes 	 Part.c.17 	 at time 8.906689345707829.
Part.c.17 	 resumes 	 MachineShop.MachineShop.1 	 at time 8.906689345707829.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 9.138606874272227.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 9.138606874272227.
MachineShop.MachineShop.1 	 resumes 	 Part.c.16 	 at time 9.305142342131047.
Part.c.16 	 resumes 	 MachineShop.MachineShop.1 	 at time 9.305142342131047.
MachineShop.MachineShop.1 	 resumes 	 Part.c.17 	 at time 9.49775982192875.
Part.c.17 	 resumes 	 MachineShop.MachineShop.1 	 at time 9.49775982192875.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 9.676171984523535.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 9.676171984523535.
MachineShop.MachineShop.1 	 resumes 	 Part.c.16 	 at time 10.051190509711786.
Part.c.16 	 resumes 	 MachineShop.MachineShop.1 	 at time 10.051190509711786.
MachineShop.MachineShop.1 	 resumes 	 Part.c.17 	 at time 10.08883029814967.
Part.c.17 	 resumes 	 MachineShop.MachineShop.1 	 at time 10.08883029814967.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 10.213737094774842.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 10.213737094774842.
MachineShop.MachineShop.1 	 resumes 	 Part.c.17 	 at time 10.67990077437059.
Part.c.17 	 resumes 	 MachineShop.MachineShop.1 	 at time 10.67990077437059.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 10.75130220502615.
Resource.Machine1.5 	 serves for 3.288156932260347 	 Part.c.15 	 at time 10.75130220502615.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 10.75130220502615.
MachineShop.MachineShop.1 	 resumes 	 Part.c.16 	 at time 10.797238677292524.
Part.c.16 	 resumes 	 MachineShop.MachineShop.1 	 at time 10.797238677292524.
MachineShop.MachineShop.1 	 resumes 	 Part.c.17 	 at time 11.270971250591511.
Part.c.17 	 resumes 	 MachineShop.MachineShop.1 	 at time 11.270971250591511.
MachineShop.MachineShop.1 	 resumes 	 Part.c.16 	 at time 11.543286844873263.
Part.c.16 	 resumes 	 MachineShop.MachineShop.1 	 at time 11.543286844873263.
MachineShop.MachineShop.1 	 resumes 	 Part.c.17 	 at time 11.862041726812432.
Part.c.17 	 resumes 	 MachineShop.MachineShop.1 	 at time 11.862041726812432.
MachineShop.MachineShop.1 	 resumes 	 Part.c.16 	 at time 12.289335012454002.
Part.c.16 	 resumes 	 MachineShop.MachineShop.1 	 at time 12.289335012454002.
MachineShop.MachineShop.1 	 resumes 	 Part.c.17 	 at time 12.453112203033353.
Part.c.17 	 resumes 	 MachineShop.MachineShop.1 	 at time 12.453112203033353.
MachineShop.MachineShop.1 	 resumes 	 Part.c.16 	 at time 13.03538318003474.
Part.c.16 	 resumes 	 MachineShop.MachineShop.1 	 at time 13.03538318003474.
MachineShop.MachineShop.1 	 resumes 	 Part.c.17 	 at time 13.044182679254273.
Part.c.17 	 resumes 	 MachineShop.MachineShop.1 	 at time 13.044182679254273.
MachineShop.MachineShop.1 	 resumes 	 Part.c.17 	 at time 13.635253155475194.
Part.c.17 	 resumes 	 MachineShop.MachineShop.1 	 at time 13.635253155475194.
MachineShop.MachineShop.1 	 resumes 	 Part.c.16 	 at time 13.781431347615479.
Part.c.16 	 resumes 	 MachineShop.MachineShop.1 	 at time 13.781431347615479.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 14.039459137286496.
Resource.Machine1.5 	 releases 	 Part.c.15 	 at time 14.039459137286496.
Transport.toMachine2.11 	 moves for 13.235122123733163 	 Part.c.15 	 at time 14.039459137286496.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 14.039459137286496.
MachineShop.MachineShop.1 	 resumes 	 Part.c.17 	 at time 14.226323631696115.
Part.c.17 	 resumes 	 MachineShop.MachineShop.1 	 at time 14.226323631696115.
MachineShop.MachineShop.1 	 resumes 	 Part.c.16 	 at time 14.527479515196218.
Part.c.16 	 resumes 	 MachineShop.MachineShop.1 	 at time 14.527479515196218.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 14.701215243473154.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 14.701215243473154.
MachineShop.MachineShop.1 	 resumes 	 Part.c.17 	 at time 14.817394107917035.
Part.c.17 	 resumes 	 MachineShop.MachineShop.1 	 at time 14.817394107917035.
MachineShop.MachineShop.1 	 resumes 	 Part.c.16 	 at time 15.273527682776956.
Part.c.16 	 resumes 	 MachineShop.MachineShop.1 	 at time 15.273527682776956.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 15.362971349659812.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 15.362971349659812.
MachineShop.MachineShop.1 	 resumes 	 Part.c.17 	 at time 15.408464584137956.
Part.c.17 	 resumes 	 MachineShop.MachineShop.1 	 at time 15.408464584137956.
MachineShop.MachineShop.1 	 resumes 	 Part.c.17 	 at time 15.999535060358877.
Part.c.17 	 resumes 	 MachineShop.MachineShop.1 	 at time 15.999535060358877.
MachineShop.MachineShop.1 	 resumes 	 Part.c.16 	 at time 16.019575850357697.
Part.c.16 	 resumes 	 MachineShop.MachineShop.1 	 at time 16.019575850357697.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 16.02472745584647.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 16.02472745584647.
MachineShop.MachineShop.1 	 resumes 	 Part.c.17 	 at time 16.590605536579798.
Resource.Machine1.5 	 serves for 7.3063990224931565 	 Part.c.17 	 at time 16.590605536579798.
Part.c.17 	 resumes 	 MachineShop.MachineShop.1 	 at time 16.590605536579798.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 16.68648356203313.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 16.68648356203313.
MachineShop.MachineShop.1 	 resumes 	 Part.c.16 	 at time 16.765624017938435.
WaitQueue.Q1.3 	 wait begins 	 Part.c.16 	 at time 16.765624017938435.
Part.c.16 	 resumes 	 MachineShop.MachineShop.1 	 at time 16.765624017938435.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 17.348239668219787.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 17.348239668219787.
MachineShop.MachineShop.1 	 resumes 	 Source.entry.2 	 at time 18.008589128674643.
Source.entry.2 	 generates 	 Part.c.18 	 at time 18.008589128674643.
Source.entry.2 	 resumes 	 MachineShop.MachineShop.1 	 at time 18.008589128674643.
MachineShop.MachineShop.1 	 resumes 	 Part.c.18 	 at time 18.008589128674643.
Transport.toMachine1.10 	 moves for 12.995888167060912 	 Part.c.18 	 at time 18.008589128674643.
Part.c.18 	 resumes 	 MachineShop.MachineShop.1 	 at time 18.008589128674643.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 18.009995774406445.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 18.009995774406445.
MachineShop.MachineShop.1 	 resumes 	 Part.c.18 	 at time 18.65838353702769.
Part.c.18 	 resumes 	 MachineShop.MachineShop.1 	 at time 18.65838353702769.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 18.671751880593103.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 18.671751880593103.
MachineShop.MachineShop.1 	 resumes 	 Part.c.18 	 at time 19.308177945380734.
Part.c.18 	 resumes 	 MachineShop.MachineShop.1 	 at time 19.308177945380734.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 19.33350798677976.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 19.33350798677976.
MachineShop.MachineShop.1 	 resumes 	 Part.c.18 	 at time 19.95797235373378.
Part.c.18 	 resumes 	 MachineShop.MachineShop.1 	 at time 19.95797235373378.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 19.99526409296642.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 19.99526409296642.
MachineShop.MachineShop.1 	 resumes 	 Source.entry.2 	 at time 20.60461265934918.
Source.entry.2 	 generates 	 Part.c.19 	 at time 20.60461265934918.
Source.entry.2 	 resumes 	 MachineShop.MachineShop.1 	 at time 20.60461265934918.
MachineShop.MachineShop.1 	 resumes 	 Part.c.19 	 at time 20.60461265934918.
Transport.toMachine1.10 	 moves for 17.856381037272513 	 Part.c.19 	 at time 20.60461265934918.
Part.c.19 	 resumes 	 MachineShop.MachineShop.1 	 at time 20.60461265934918.
MachineShop.MachineShop.1 	 resumes 	 Part.c.18 	 at time 20.607766762086825.
Part.c.18 	 resumes 	 MachineShop.MachineShop.1 	 at time 20.607766762086825.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 20.657020199153077.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 20.657020199153077.
MachineShop.MachineShop.1 	 resumes 	 Part.c.18 	 at time 21.25756117043987.
Part.c.18 	 resumes 	 MachineShop.MachineShop.1 	 at time 21.25756117043987.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 21.318776305339735.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 21.318776305339735.
MachineShop.MachineShop.1 	 resumes 	 Part.c.19 	 at time 21.497431711212805.
Part.c.19 	 resumes 	 MachineShop.MachineShop.1 	 at time 21.497431711212805.
MachineShop.MachineShop.1 	 resumes 	 Part.c.18 	 at time 21.907355578792917.
Part.c.18 	 resumes 	 MachineShop.MachineShop.1 	 at time 21.907355578792917.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 21.980532411526394.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 21.980532411526394.
